Campus,Group,School / Department,Level,Date,Number of Registrations,Month,Year,Main Level
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Undergraduate,Jan 2021,3.0,Jan,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Occassional Non Degree,Jan 2021,5.0,Jan,2021,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Research,Jan 2021,5.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Taught,Jan 2021,17.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Occassional Non Degree,Jan 2021,0.0,Jan,2021,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Postgraduate Research,Jan 2021,1.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Postgraduate Taught,Jan 2021,25.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Undergraduate,Jan 2021,10.0,Jan,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Visiting Students Non Degree,Jan 2021,0.0,Jan,2021,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Executive Non Degree,Jan 2021,0.0,Jan,2021,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Modern Foreign Languages,Undergraduate,Jan 2021,1.0,Jan,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Modern Foreign Languages,Occassional Non Degree,Jan 2021,0.0,Jan,2021,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Non Degree Apprentice,Jan 2021,0.0,Jan,2021,Apprenticeship
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Research,Jan 2021,2.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Taught,Jan 2021,18.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Undergraduate,Jan 2021,13.0,Jan,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Occassional Non Degree,Jan 2021,1.0,Jan,2021,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Postgraduate Research,Jan 2021,3.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Postgraduate Taught,Jan 2021,80.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Postgraduate Research,Jan 2021,1.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Postgraduate Taught,Jan 2021,15.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Undergraduate,Jan 2021,29.0,Jan,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Postgraduate Medicine,Postgraduate Research,Jan 2021,0.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Postgraduate Medicine,Postgraduate Taught,Jan 2021,29.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Research,Jan 2021,7.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Taught,Jan 2021,11.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Undergraduate,Jan 2021,19.0,Jan,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of UG Medicine,Undergraduate,Jan 2021,127.0,Jan,2021,Undergraduate Degree
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Accounting and Finance,Foundation Undergraduate (1+2),Jan 2021,2.0,Jan,2021,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Centre for Foundation Studies,Foundation Non Degree,Jan 2021,8.0,Jan,2021,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Economics and International Studies,Foundation Undergraduate (1+2),Jan 2021,3.0,Jan,2021,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,English and Digital Media,Foundation Undergraduate (1+2),Jan 2021,1.0,Jan,2021,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Enterprise and Entrepreneurship,Foundation Undergraduate (1+2),Jan 2021,0.0,Jan,2021,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Management,Foundation Undergraduate (1+2),Jan 2021,17.0,Jan,2021,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,School of Computing,Foundation Non Degree,Jan 2021,0.0,Jan,2021,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,School of Computing,Foundation Undergraduate (1+2),Jan 2021,2.0,Jan,2021,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,School of Law,Foundation Undergraduate (1+2),Jan 2021,10.0,Jan,2021,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,School of Psychology,Foundation Undergraduate (1+2),Jan 2021,4.0,Jan,2021,Foundation
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Postgraduate Research,Jan 2020,0.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Postgraduate Taught,Jan 2020,9.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Undergraduate,Jan 2020,5.0,Jan,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Buckingham Enterprise and Innovation Unit,Postgraduate Taught,Jan 2020,0.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Centre for Foundation Studies,Non Degree Leading to Postgraduate Taught,Jan 2020,0.0,Jan,2020,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Research,Jan 2020,2.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Taught,Jan 2020,24.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Undergraduate,Jan 2020,15.0,Jan,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Occassional Non Degree,Jan 2020,0.0,Jan,2020,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Visiting Students Non Degree,Jan 2020,1.0,Jan,2020,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Postgraduate Research,Jan 2020,6.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Undergraduate,Jan 2020,12.0,Jan,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Visiting Students Non Degree,Jan 2020,14.0,Jan,2020,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Postgraduate Taught,Jan 2020,0.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Undergraduate,Jan 2020,3.0,Jan,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Postgraduate Research,Jan 2020,2.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Postgraduate Taught,Jan 2020,2.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Undergraduate,Jan 2020,4.0,Jan,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Occassional Non Degree,Jan 2020,0.0,Jan,2020,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Research,Jan 2020,1.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Taught,Jan 2020,0.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Occassional Non Degree,Jan 2020,0.0,Jan,2020,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Postgraduate Research,Jan 2020,6.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Postgraduate Taught,Jan 2020,15.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Undergraduate,Jan 2020,16.0,Jan,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Visiting Students Non Degree,Jan 2020,0.0,Jan,2020,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Executive Non Degree,Jan 2020,0.0,Jan,2020,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Modern Foreign Languages,Undergraduate,Jan 2020,3.0,Jan,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Modern Foreign Languages,Occassional Non Degree,Jan 2020,0.0,Jan,2020,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Non Degree Apprentice,Jan 2020,0.0,Jan,2020,Apprenticeship
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Research,Jan 2020,2.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Taught,Jan 2020,19.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Undergraduate,Jan 2020,8.0,Jan,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Occassional Non Degree,Jan 2020,2.0,Jan,2020,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Postgraduate Research,Jan 2020,0.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Postgraduate Taught,Jan 2020,0.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Postgraduate Research,Jan 2020,0.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Postgraduate Taught,Jan 2020,14.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Undergraduate,Jan 2020,38.0,Jan,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Postgraduate Medicine,Postgraduate Research,Jan 2020,0.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Postgraduate Medicine,Postgraduate Taught,Jan 2020,11.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Research,Jan 2020,5.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Taught,Jan 2020,6.0,Jan,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Undergraduate,Jan 2020,17.0,Jan,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of UG Medicine,Undergraduate,Jan 2020,131.0,Jan,2020,Undergraduate Degree
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Accounting and Finance,Foundation Undergraduate (1+2),Jan 2020,1.0,Jan,2020,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Centre for Foundation Studies,Foundation Non Degree,Jan 2020,10.0,Jan,2020,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Economics and International Studies,Foundation Undergraduate (1+2),Jan 2020,6.0,Jan,2020,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,English and Digital Media,Foundation Undergraduate (1+2),Jan 2020,0.0,Jan,2020,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Enterprise and Entrepreneurship,Foundation Undergraduate (1+2),Jan 2020,0.0,Jan,2020,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Management,Foundation Undergraduate (1+2),Jan 2020,9.0,Jan,2020,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,School of Computing,Foundation Non Degree,Jan 2020,0.0,Jan,2020,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,School of Computing,Foundation Undergraduate (1+2),Jan 2020,3.0,Jan,2020,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,School of Law,Foundation Undergraduate (1+2),Jan 2020,5.0,Jan,2020,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,School of Psychology,Foundation Undergraduate (1+2),Jan 2020,3.0,Jan,2020,Foundation
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Postgraduate Research,Jan 2019,0.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Postgraduate Taught,Jan 2019,3.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Undergraduate,Jan 2019,9.0,Jan,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Buckingham Enterprise and Innovation Unit,Postgraduate Taught,Jan 2019,0.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Centre for Foundation Studies,Non Degree Leading to Postgraduate Taught,Jan 2019,0.0,Jan,2019,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Research,Jan 2019,1.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Taught,Jan 2019,18.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Undergraduate,Jan 2019,28.0,Jan,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Occassional Non Degree,Jan 2019,0.0,Jan,2019,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Visiting Students Non Degree,Jan 2019,0.0,Jan,2019,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Postgraduate Research,Jan 2019,5.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Undergraduate,Jan 2019,12.0,Jan,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Visiting Students Non Degree,Jan 2019,0.0,Jan,2019,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Postgraduate Taught,Jan 2019,0.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Undergraduate,Jan 2019,10.0,Jan,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Postgraduate Research,Jan 2019,0.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Postgraduate Taught,Jan 2019,2.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Undergraduate,Jan 2019,1.0,Jan,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Occassional Non Degree,Jan 2019,2.0,Jan,2019,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Research,Jan 2019,3.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Taught,Jan 2019,0.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Occassional Non Degree,Jan 2019,0.0,Jan,2019,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Postgraduate Research,Jan 2019,2.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Postgraduate Taught,Jan 2019,32.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Undergraduate,Jan 2019,20.0,Jan,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Visiting Students Non Degree,Jan 2019,0.0,Jan,2019,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Executive Non Degree,Jan 2019,4.0,Jan,2019,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Modern Foreign Languages,Undergraduate,Jan 2019,0.0,Jan,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Modern Foreign Languages,Occassional Non Degree,Jan 2019,0.0,Jan,2019,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Non Degree Apprentice,Jan 2019,0.0,Jan,2019,Apprenticeship
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Research,Jan 2019,2.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Taught,Jan 2019,2.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Undergraduate,Jan 2019,6.0,Jan,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Occassional Non Degree,Jan 2019,7.0,Jan,2019,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Postgraduate Research,Jan 2019,0.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Postgraduate Taught,Jan 2019,0.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Postgraduate Research,Jan 2019,3.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Postgraduate Taught,Jan 2019,20.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Undergraduate,Jan 2019,29.0,Jan,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Postgraduate Medicine,Postgraduate Research,Jan 2019,1.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Postgraduate Medicine,Postgraduate Taught,Jan 2019,0.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Research,Jan 2019,2.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Taught,Jan 2019,6.0,Jan,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Undergraduate,Jan 2019,25.0,Jan,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of UG Medicine,Undergraduate,Jan 2019,92.0,Jan,2019,Undergraduate Degree
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Accounting and Finance,Foundation Undergraduate (1+2),Jan 2019,0.0,Jan,2019,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Centre for Foundation Studies,Foundation Non Degree,Jan 2019,18.0,Jan,2019,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Economics and International Studies,Foundation Undergraduate (1+2),Jan 2019,1.0,Jan,2019,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,English and Digital Media,Foundation Undergraduate (1+2),Jan 2019,0.0,Jan,2019,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Enterprise and Entrepreneurship,Foundation Undergraduate (1+2),Jan 2019,0.0,Jan,2019,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Management,Foundation Undergraduate (1+2),Jan 2019,8.0,Jan,2019,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,School of Computing,Foundation Non Degree,Jan 2019,0.0,Jan,2019,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,School of Computing,Foundation Undergraduate (1+2),Jan 2019,1.0,Jan,2019,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,School of Law,Foundation Undergraduate (1+2),Jan 2019,3.0,Jan,2019,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,School of Psychology,Foundation Undergraduate (1+2),Jan 2019,0.0,Jan,2019,Foundation
