Campus,Group,School / Department,Level,Date,Number of Applications,Number of Acceptances,Number of Registrations,Month,Year,Main Level
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Postgraduate Research,Sep 2022,0.0,0.0,0.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Postgraduate Taught,Sep 2022,66.0,5.0,5.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Undergraduate,Sep 2022,57.0,6.0,6.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Occassional Non Degree,Sep 2022,0.0,0.0,0.0,Sep,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Postgraduate Research,Sep 2022,12.0,1.0,1.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Postgraduate Taught,Sep 2022,327.0,12.0,12.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Undergraduate,Sep 2022,187.0,21.0,21.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Visiting Students Non Degree,Sep 2022,0.0,0.0,0.0,Sep,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Modern Foreign Languages,Undergraduate,Sep 2022,12.0,1.0,0.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Non Degree Apprentice,Sep 2022,34.0,33.0,33.0,Sep,2022,Apprenticeship
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Research,Sep 2022,21.0,5.0,4.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Taught,Sep 2022,89.0,4.0,3.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Undergraduate,Sep 2022,201.0,71.0,70.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Postgraduate Research,Sep 2022,20.0,1.0,1.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Postgraduate Taught,Sep 2022,59.0,8.0,5.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Undergraduate,Sep 2022,402.0,50.0,50.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of PG Medicine,Postgraduate Research,Sep 2022,4.0,0.0,0.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of PG Medicine,Postgraduate Taught,Sep 2022,78.0,29.0,29.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Research,Sep 2022,18.0,1.0,1.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Taught,Sep 2022,49.0,3.0,3.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Undergraduate,Sep 2022,188.0,21.0,19.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Centre for Foundation Studies,Non Degree Leading to Postgraduate Taught,Sep 2021,26.0,0.0,0.0,Sep,2021,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Research,Sep 2021,36.0,6.0,6.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Taught,Sep 2021,156.0,20.0,20.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Undergraduate,Sep 2021,267.0,23.0,23.0,Sep,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Postgraduate Research,Sep 2021,22.0,5.0,5.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Undergraduate,Sep 2021,78.0,10.0,8.0,Sep,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Postgraduate Taught,Sep 2021,0.0,0.0,0.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Undergraduate,Sep 2021,30.0,4.0,4.0,Sep,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Occassional Non Degree,Sep 2021,31.0,14.0,14.0,Sep,2021,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Research,Sep 2021,98.0,48.0,48.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Taught,Sep 2021,1.0,0.0,0.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Modern Foreign Languages,Undergraduate,Sep 2021,11.0,2.0,1.0,Sep,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Non Degree Apprentice,Sep 2021,22.0,22.0,22.0,Sep,2021,Apprenticeship
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Research,Sep 2021,13.0,0.0,0.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Taught,Sep 2021,41.0,1.0,1.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Undergraduate,Sep 2021,144.0,10.0,10.0,Sep,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Occassional Non Degree,Sep 2021,46.0,18.0,18.0,Sep,2021,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Postgraduate Research,Sep 2021,14.0,6.0,6.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Postgraduate Taught,Sep 2021,1350.0,1144.0,1138.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Postgraduate Research,Sep 2021,7.0,1.0,1.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Postgraduate Taught,Sep 2021,25.0,0.0,0.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Undergraduate,Sep 2021,337.0,55.0,52.0,Sep,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Research,Sep 2021,20.0,5.0,5.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Taught,Sep 2021,42.0,4.0,4.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Undergraduate,Sep 2021,150.0,18.0,18.0,Sep,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Postgraduate Research,Sep 2020,0.0,0.0,0.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Postgraduate Taught,Sep 2020,59.0,2.0,2.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Undergraduate,Sep 2020,111.0,9.0,9.0,Sep,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Centre for Foundation Studies,Non Degree Leading to Postgraduate Taught,Sep 2020,6.0,2.0,2.0,Sep,2020,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Research,Sep 2020,45.0,3.0,3.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Taught,Sep 2020,174.0,17.0,16.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Undergraduate,Sep 2020,322.0,19.0,18.0,Sep,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Postgraduate Research,Sep 2020,24.0,4.0,4.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Undergraduate,Sep 2020,103.0,8.0,7.0,Sep,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Postgraduate Taught,Sep 2020,4.0,0.0,0.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Undergraduate,Sep 2020,36.0,5.0,5.0,Sep,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Postgraduate Research,Sep 2020,14.0,3.0,3.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Postgraduate Taught,Sep 2020,18.0,7.0,7.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Undergraduate,Sep 2020,42.0,2.0,2.0,Sep,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Modern Foreign Languages,Undergraduate,Sep 2020,16.0,2.0,2.0,Sep,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of PG Medicine,Postgraduate Research,Sep 2020,1.0,0.0,0.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of PG Medicine,Postgraduate Taught,Sep 2020,41.0,18.0,18.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Postgraduate Taught,Sep 2019,0.0,0.0,0.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Undergraduate,Sep 2019,41.0,6.0,6.0,Sep,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Occassional Non Degree,Sep 2019,26.0,26.0,26.0,Sep,2019,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Postgraduate Research,Sep 2019,19.0,0.0,0.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Postgraduate Taught,Sep 2019,107.0,11.0,11.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Undergraduate,Sep 2019,310.0,37.0,37.0,Sep,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Visiting Students Non Degree,Sep 2019,0.0,0.0,0.0,Sep,2019,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Non Degree Apprentice,Sep 2019,48.0,47.0,47.0,Sep,2019,Apprenticeship
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Research,Sep 2019,12.0,3.0,3.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Taught,Sep 2019,16.0,0.0,0.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Undergraduate,Sep 2019,107.0,18.0,18.0,Sep,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of PG Medicine,Postgraduate Research,Sep 2019,0.0,0.0,0.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of PG Medicine,Postgraduate Taught,Sep 2019,41.0,1.0,1.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Buckingham Enterprise and Innovation Unit,Postgraduate Taught,Jan 2022,21.0,0.0,0.0,Jan,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Occassional Non Degree,Jan 2022,0.0,0.0,0.0,Jan,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Research,Jan 2022,24.0,4.0,4.0,Jan,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Taught,Jan 2022,141.0,18.0,18.0,Jan,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Undergraduate,Jan 2022,139.0,13.0,13.0,Jan,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Visiting Students Non Degree,Jan 2022,1.0,1.0,1.0,Jan,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Occassional Non Degree,Jan 2022,2.0,2.0,1.0,Jan,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Research,Jan 2022,10.0,5.0,5.0,Jan,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Taught,Jan 2022,20.0,9.0,9.0,Jan,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Modern Foreign Languages,Occassional Non Degree,Jan 2022,1.0,1.0,1.0,Jan,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Modern Foreign Languages,Undergraduate,Jan 2022,3.0,0.0,0.0,Jan,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Research,Jan 2022,21.0,2.0,2.0,Jan,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Taught,Jan 2022,236.0,37.0,37.0,Jan,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Undergraduate,Jan 2022,85.0,9.0,9.0,Jan,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Research,Jan 2022,21.0,3.0,3.0,Jan,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Taught,Jan 2022,86.0,6.0,6.0,Jan,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Undergraduate,Jan 2022,69.0,13.0,12.0,Jan,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Buckingham Enterprise and Innovation Unit,Postgraduate Taught,Jan 2021,13.0,7.0,7.0,Jan,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Occassional Non Degree,Jan 2021,1.0,1.0,1.0,Jan,2021,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Research,Jan 2021,34.0,8.0,8.0,Jan,2021,Postgraduate Degree
